tid1,thana1,school_name,schoolCode1,schoolCode2,school_name,tid2,thana2,sameCnt,dsSheet1,mongo1,dsSheet2,mongo2,distMob1,distMob2,received1,received2,Rcount1,Rcount2,pct1,pct1,smaeThana
141,"Dharampasha,Sunamgonj",JAMALPUR PRIMARY SCHOOL,99601070205(PROCESSED),91601070508(PROCESSED),PROTAP PUR,141,"Dharampasha,Sunamgonj",136,136,0,136,50,136,136,136,136,0,0,100.0000,100.0000,TRUE
141,"Dharampasha,Sunamgonj",PROTAP PUR,91601070508(PROCESSED),99601070205(PROCESSED),JAMALPUR PRIMARY SCHOOL,141,"Dharampasha,Sunamgonj",136,136,50,136,0,136,136,136,136,0,0,100.0000,100.0000,TRUE
195,"Ullapara,Sirajgonj",KHANPUR_RPS,99115019084(PROCESSED),99206030302(PROCESSED),MAJALI RPS,238,"Chougachha,Jessore",93,156,102,132,30,156,131,156,132,0,0,59.6154,70.9924,FALSE
141,"Dharampasha,Sunamgonj",GABI,91601070202(PROCESSED),99601079005(PROCESSED),BONGAVI GOVT PRIMARY SCHOOL,141,"Dharampasha,Sunamgonj",36,293,0,140,140,282,137,293,140,0,0,12.7660,26.2774,TRUE
141,"Dharampasha,Sunamgonj",BONGAVI GOVT PRIMARY SCHOOL,99601079005(PROCESSED),91601070202(PROCESSED),GABI,141,"Dharampasha,Sunamgonj",36,140,140,293,0,137,282,140,293,0,0,26.2774,12.7660,TRUE
195,"Ullapara,Sirajgonj",KAMAL MORICH GPS,91115010806(PROCESSED),5115011318(PROCESSED),SUBODDOMORICH EBTEDAY MADRASHA,195,"Ullapara,Sirajgonj",27,279,279,74,74,278,72,279,74,0,0,9.7122,37.5000,TRUE
195,"Ullapara,Sirajgonj",SUBODDOMORICH EBTEDAY MADRASHA,5115011318(PROCESSED),91115010806(PROCESSED),KAMAL MORICH GPS,195,"Ullapara,Sirajgonj",27,74,74,279,279,72,278,74,279,0,0,37.5000,9.7122,TRUE
195,"Ullapara,Sirajgonj",AMDANGA D.PARA EBTEDAY MADRASHA,5115010919(PROCESSED),91115011106(PROCESSED),AMDANGA GPS,195,"Ullapara,Sirajgonj",21,81,81,160,160,78,159,81,160,0,0,26.9231,13.2075,TRUE
195,"Ullapara,Sirajgonj",AMDANGA GPS,91115011106(PROCESSED),5115010919(PROCESSED),AMDANGA D.PARA EBTEDAY MADRASHA,195,"Ullapara,Sirajgonj",21,160,160,81,81,159,78,160,81,0,0,13.2075,26.9231,TRUE
195,"Ullapara,Sirajgonj",HAJIPUR RPS,99115019094(PROCESSED),91115010205(PROCESSED),NADA GPS,195,"Ullapara,Sirajgonj",16,83,83,155,155,80,154,83,155,0,0,20.0000,10.3896,TRUE
195,"Ullapara,Sirajgonj",NADA GPS,91115010205(PROCESSED),99115019094(PROCESSED),HAJIPUR RPS,195,"Ullapara,Sirajgonj",16,155,155,83,83,154,80,155,83,0,0,10.3896,20.0000,TRUE
